"","Agrupamento_Decreto","Agrupamento Geral","Tipo Função Detalhada2","Subnível Função2"
"246","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"247","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"248","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"249","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"250","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"251","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"252","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"253","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"254","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"255","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"256","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"257","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"258","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"259","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"260","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"261","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"262","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"263","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"264","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"265","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"266","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"267","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"268","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"269","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"270","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"271","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"272","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"273","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"274","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"275","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"276","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"277","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"278","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"279","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"280","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"281","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"282","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"283","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"284","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"285","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"286","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"287","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"288","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"289","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"290","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"291","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"292","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"293","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"294","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"295","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"296","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"297","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
